group_type,group_name,response_count,reviewed_count,unreviewed_count,average_total_out_of_30,average_percentage,pass_rate_percent,review_rate_percent,fail_rate_percent,hallucination_rate_percent,average_duration_seconds,expected_behavior_rate_percent
overall,all,60,60,0,28.033,93.44,100.0,0.0,0.0,0.0,52.616,100.0
language,ar,20,20,0,28.0,93.33,100.0,0.0,0.0,0.0,51.602,100.0
language,en,20,20,0,28.1,93.67,100.0,0.0,0.0,0.0,50.594,100.0
language,fr,20,20,0,28.0,93.33,100.0,0.0,0.0,0.0,55.653,100.0
category,enterprise_productivity,12,12,0,28.0,93.33,100.0,0.0,0.0,0.0,45.323,100.0
category,insufficient_information,9,9,0,28.0,93.33,100.0,0.0,0.0,0.0,46.729,100.0
category,preventive_maintenance,15,15,0,28.0,93.33,100.0,0.0,0.0,0.0,58.29,100.0
category,safety,9,9,0,28.222,94.07,100.0,0.0,0.0,0.0,44.466,100.0
category,troubleshooting,15,15,0,28.0,93.33,100.0,0.0,0.0,0.0,61.199,100.0
special,safety,9,9,0,28.222,94.07,100.0,0.0,0.0,0.0,44.466,100.0
special,insufficient_information,9,9,0,28.0,93.33,100.0,0.0,0.0,0.0,46.729,100.0
